id,device_id,timestamp,data,sensor_type
1,KPCL0022,2025-05-04 23:38:36.936,"{'unit': '°C', 'value': 24.3, 'timestamp': '04/05/2025, 19:38:36'}",temperature
2,KPCL0022,2025-05-04 23:38:36.968,"{'unit': '%', 'value': 25.1, 'timestamp': '04/05/2025, 19:38:36'}",humidity
3,KPCL0022,2025-05-04 23:38:36.999,"{'unit': 'lux', 'value': 121, 'timestamp': '04/05/2025, 19:38:36'}",light
4,KPCL0022,2025-05-04 23:38:37.029,"{'unit': 'g', 'value': -0.192495, 'timestamp': '04/05/2025, 19:38:36'}",weight
5,KPCL0022,2025-05-04 23:38:41.902,"{'unit': '°C', 'value': 24.3, 'timestamp': '04/05/2025, 19:38:41'}",temperature
6,KPCL0022,2025-05-04 23:38:41.934,"{'unit': '%', 'value': 25.2, 'timestamp': '04/05/2025, 19:38:41'}",humidity
7,KPCL0022,2025-05-04 23:38:41.965,"{'unit': 'lux', 'value': 123, 'timestamp': '04/05/2025, 19:38:41'}",light
8,KPCL0022,2025-05-04 23:38:41.995,"{'unit': 'g', 'value': -0.190187, 'timestamp': '04/05/2025, 19:38:41'}",weight
9,KPCL0022,2025-05-04 23:38:46.952,"{'unit': '°C', 'value': 24.3, 'timestamp': '04/05/2025, 19:38:46'}",temperature
10,KPCL0022,2025-05-04 23:38:46.984,"{'unit': '%', 'value': 25.2, 'timestamp': '04/05/2025, 19:38:46'}",humidity
11,KPCL0022,2025-05-04 23:38:47.016,"{'unit': 'lux', 'value': 114, 'timestamp': '04/05/2025, 19:38:46'}",light
12,KPCL0022,2025-05-04 23:38:47.047,"{'unit': 'g', 'value': -0.190426, 'timestamp': '04/05/2025, 19:38:46'}",weight
13,KPCL0022,2025-05-04 23:38:51.908,"{'unit': '°C', 'value': 24.3, 'timestamp': '04/05/2025, 19:38:51'}",temperature
14,KPCL0022,2025-05-04 23:38:51.939,"{'unit': '%', 'value': 25.2, 'timestamp': '04/05/2025, 19:38:51'}",humidity
15,KPCL0022,2025-05-04 23:38:51.970,"{'unit': 'lux', 'value': 110, 'timestamp': '04/05/2025, 19:38:51'}",light
16,KPCL0022,2025-05-04 23:38:52.001,"{'unit': 'g', 'value': -0.172366, 'timestamp': '04/05/2025, 19:38:51'}",weight
17,KPCL0022,2025-05-04 23:38:57.094,"{'unit': '°C', 'value': 24.3, 'timestamp': '04/05/2025, 19:38:56'}",temperature
18,KPCL0022,2025-05-04 23:38:57.126,"{'unit': '%', 'value': 25.2, 'timestamp': '04/05/2025, 19:38:56'}",humidity
19,KPCL0022,2025-05-04 23:38:57.156,"{'unit': 'lux', 'value': 117, 'timestamp': '04/05/2025, 19:38:56'}",light
20,KPCL0022,2025-05-04 23:38:57.187,"{'unit': 'g', 'value': -0.17987, 'timestamp': '04/05/2025, 19:38:56'}",weight
21,KPCL0022,2025-05-04 23:39:01.930,"{'unit': '°C', 'value': 24.3, 'timestamp': '04/05/2025, 19:39:01'}",temperature
22,KPCL0022,2025-05-04 23:39:01.962,"{'unit': '%', 'value': 25.2, 'timestamp': '04/05/2025, 19:39:01'}",humidity
23,KPCL0022,2025-05-04 23:39:01.992,"{'unit': 'lux', 'value': 123, 'timestamp': '04/05/2025, 19:39:01'}",light
24,KPCL0022,2025-05-04 23:39:02.023,"{'unit': 'g', 'value': -0.187161, 'timestamp': '04/05/2025, 19:39:01'}",weight
25,KPCL0022,2025-05-04 23:39:06.892,"{'unit': '°C', 'value': 24.3, 'timestamp': '04/05/2025, 19:39:06'}",temperature
26,KPCL0022,2025-05-04 23:39:06.923,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:39:06'}",humidity
27,KPCL0022,2025-05-04 23:39:06.953,"{'unit': 'lux', 'value': 119, 'timestamp': '04/05/2025, 19:39:06'}",light
28,KPCL0022,2025-05-04 23:39:06.984,"{'unit': 'g', 'value': -0.178846, 'timestamp': '04/05/2025, 19:39:06'}",weight
29,KPCL0022,2025-05-04 23:39:11.945,"{'unit': '°C', 'value': 24.4, 'timestamp': '04/05/2025, 19:39:11'}",temperature
30,KPCL0022,2025-05-04 23:39:11.975,"{'unit': '%', 'value': 25.3, 'timestamp': '04/05/2025, 19:39:11'}",humidity
